Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
3021592;Denguin;Denguin;Dangen,Denguin,dang ji en,Данген,当吉恩;P;PPL;FR;France;;75;64;643;64198;1576;;134;Europe/Paris;2020-02-07;France;43.36261,-0.50834
3021691;Dauendorf;Dauendorf;Dauendorf,Дауендорф;P;PPL;FR;France;;44;67;672;67087;1504;;231;Europe/Paris;2016-02-18;France;48.82987,7.65532
3021854;Dammarie;Dammarie;Dammarie;P;PPL;FR;France;;24;28;281;28122;1432;;148;Europe/Paris;2016-02-18;France;48.34314,1.49444
3021902;Dallet;Dallet;Dale,Dalet,Dalle,Dallet,Dalèt,da lai,Дале,Далле,达莱;P;PPL;FR;France;;84;63;632;63226;1229;;327;Europe/Paris;2019-04-10;France;45.77047,3.23875
3021933;Dabo;Dabo;Dabo,Dagesburg,Dagisburgum,Dagsbourg,Dagsburg,Dockschbuerj;P;PPL;FR;France;;44;57;575;57163;2875;;465;Europe/Paris;2020-08-22;France;48.65373,7.23611
3022036;Curgy;Curgy;Curgy,Kirzhi,Kjurzhi,Киржи,Кюржи,Кюржі;P;PPL;FR;France;;27;71;711;71162;1149;;368;Europe/Paris;2016-02-18;France;46.98714,4.38452
3022154;Cuffy;Cuffy;Cuffy;P;PPL;FR;France;;24;18;182;18082;1107;;185;Europe/Paris;2016-02-18;France;46.96275,3.05238
3022609;Creissan;Creissan;Creissan;P;PPL;FR;France;;76;34;341;34089;1103;;109;Europe/Paris;2020-06-10;France;43.37482,3.01063
3022911;Courtenay;Courtenay;Courtenay;P;PPL;FR;France;;24;45;451;45115;3688;;170;Europe/Paris;2016-02-18;France;48.03901,3.05851
3022959;Coursac;Coursac;Corsac,Coursac,Kursak,ku er sa ke,Курсак,库尔萨克;P;PPL;FR;France;;75;24;243;24139;1429;;152;Europe/Paris;2019-11-06;France;45.12925,0.63837
3023066;Courchelettes;Courchelettes;Courchelettes;P;PPL;FR;France;;32;59;593;59156;2919;;30;Europe/Paris;2016-02-18;France;50.34043,3.05938
3023309;Coufouleux;Coufouleux;Confoleuc,Confolèuç,Couffouleux,Coufouleux,Kuffule,Kufuljo,ku fu lei,Куфулё,Куффуле,库富勒;P;PPL;FR;France;;76;81;811;81070;2135;;118;Europe/Paris;2016-02-18;France;43.81713,1.73078
3023484;Cosnac;Cosnac;Cosnac,Konak,ke si na ke,Конак,科斯纳克;P;PPL;FR;France;;75;19;191;19063;2412;;233;Europe/Paris;2019-04-10;France;45.13423,1.58544
3023637;Cormery;Cormery;Cormery;P;PPL;FR;France;;24;37;373;37083;1606;;66;Europe/Paris;2019-03-26;France;47.26812,0.83583
3023695;Cordes-sur-Ciel;Cordes-sur-Ciel;Cordas,Còrdas,Kord-sir-Sjel,Kord-sjur-S'el',korudo=shuru=shieru,xie he pan ke er de,Корд-сир-Сјел,Корд-сюр-Сьель,Корд-сюр-Сьєль,コルド＝シュル＝シエル,谢河畔科尔德;P;PPL;FR;France;;76;81;811;81069;1081;;183;Europe/Paris;2016-02-18;France;44.06667,1.95
3023767;Corbehem;Corbehem;Corbehem,Corbehin,Korbeam,Korbeem,ke er bei mu,kwrbyhym,Корбеам,Корбеем,كوربيهيم,科尔贝姆;P;PPL;FR;France;;32;62;621;62240;2355;;33;Europe/Paris;2016-02-18;France;50.33141,3.04995
